Game all Analysis
[0, 0, 0, 0, 4.8665199708439895, 4.5977226539465637, 3.7913307032542871, 2.7161414356645848, 0.028168266690329347]
exponential distribution: 
[0, 0, 0, 0, 3.7200759760208361e-44, 7.1750959731644108e-66, 5.1482002224120135e-131, 7.1245764067412855e-218, 0.0]
lognormal distribution: 
[0, 0, 0, 0, 6.8297133016268221, 4.5530614834115601, 2.2764617255861288, 1.3658465070753216, 0.68290253408437895]
p-values : 
power , 0.9624
linear , 0.3942
exponential , 0.0000
lognormal , 0.9812
****************************************************
Game EVE Analysis
[41, 29, 12, 11, 8, 4, 2, 1, 1]
bmin 	 function 	 param0 	 param1 	 KS
1, power, 0.3317, 43.3001, -25.2848, 0.1478
20, power, 0.8725, 396.3111, 144.6532, 0.0341
50, power, 0.8869, 422.6200, -458.5869, 0.0536
75, power, 1.2793, 2769.7673, -112.8456, 0.0254
100, power, 1.3199, 3385.9308, 17810.4862, 0.0478
150, power, 0.9565, 477.4153, -183.8859, 0.0433
300, power, 0.7207, 114.6354, -249.8675, 0.0512
500, power, -0.0000, 1.0000, 1.5235, 0.0000
1, linear, -0.0249, 18.1880, -3.6775, 0.3133
20, linear, -0.0169, 13.1338, 2.5508, 0.2383
50, linear, -0.0102, 8.7424, 1.8150, 0.1813
75, linear, -0.0084, 7.4654, 0.9548, 0.2050
100, linear, -0.0058, 5.5583, 1.5777, 0.1886
150, linear, 0.0002, 1.2071, 1.2889, 0.2746
300, linear, -0.0001, 1.2073, 1.2890, 0.1624
500, linear, -0.0002, 1.2072, 1.2890, 0.0299
1, exponential, 0.0192, 41.4449, 137.8708, 0.0692
20, exponential, 0.0183, 39.7151, -18.9818, 0.0905
50, exponential, 1.0000, 1.0000, 1.0000, 0.6923
75, exponential, 1.0000, 1.0000, 1.0000, 0.5926
100, exponential, 1.0000, 1.0000, 1.0000, 0.5000
150, exponential, 1.0000, 1.0000, 1.0000, 0.5000
300, exponential, 1.0000, 1.0000, 1.0000, 0.5000
500, exponential, 1.0000, 1.0000, 1.0000, 0.5000
1, lognormal, 4.2328, 1.7654, 726.9643, 0.0257
20, lognormal, 2309.7171, 2505.5406, 921.3188, 0.0552
50, lognormal, -2046.5928, 4582.3538, 753.0145, 0.0474
75, lognormal, -3478.8250, 2325.2469, 2387.4463, 0.0613
100, lognormal, -1919.3631, 1438.7330, 1772.3503, 0.0650
150, lognormal, -1987.2981, 7200.6612, 623.3865, 0.0481
300, lognormal, -4656.9779, 12514.9761, 643.0023, 0.0921
500, lognormal, -24316.8716, 92462.5187, 621.0570, 0.1667
bmin selected = 75
--------------------
Generating 2501 data sets...
power distribution: 
[0, 0, 0, 11.056707775637378, 7.6522344750532696, 4.5552254613934116, 1.8766959772463243, 0.9762852210831402, 0.40221731340852518]
linear distribution: 
[0, 0, 0, 6.8374545324202529, 6.6281276459010048, 6.2094738728625085, 4.9535125537470197, 3.2788974615930337, -0.90764026879192983]
exponential distribution: 
[0, 0, 0, 2.6786369618080778e-33, 3.7200759760208361e-44, 7.1750959731644108e-66, 5.1482002224120135e-131, 7.1245764067412855e-218, 0.0]
lognormal distribution: 
[0, 0, 0, 10.366083645861741, 7.7731219481165761, 5.1807276835251006, 2.589207058591092, 1.5530128395787532, 0.77615953420181427]
p-values : 
power , 0.9508
linear , 0.0308
exponential , 0.0000
lognormal , 0.8369
****************************************************
Game AoC Analysis
[51, 42, 27, 21, 18, 25, 13, 7, 5]
bmin 	 function 	 param0 	 param1 	 KS
1, power, 0.2138, 55.1784, -34.7047, 0.0845
20, power, 0.4513, 161.6712, -62.6261, 0.0307
50, power, 0.4426, 154.9182, -3.6961, 0.0434
75, power, 0.4561, 166.7150, 46.6570, 0.0535
100, power, 0.5398, 269.8653, 32.5500, 0.0617
150, power, 0.9560, 3000.7477, 646.4574, 0.0183
300, power, 0.9084, 2251.6685, 794.3845, 0.0294
500, power, 0.4854, 142.9718, -153.4461, 0.0000
1, linear, -0.0346, 31.6606, 4.8132, 0.1455
20, linear, -0.0278, 27.3728, -3.4120, 0.1025
50, linear, -0.0215, 23.2580, -0.2768, 0.0520
75, linear, -0.0192, 21.6253, -0.5303, 0.0602
100, linear, -0.0187, 21.2528, 0.7622, 0.0759
150, linear, -0.0200, 22.2352, 3.8884, 0.1152
300, linear, -0.0100, 14.3333, -0.4682, 0.0667
500, linear, 0.0054, 1.2073, 1.2887, 0.2115
1, exponential, 0.0063, 45.1643, -15.7902, 0.1047
20, exponential, 0.0038, 36.0400, -17.6364, 0.0678
50, exponential, 1.0000, 1.0000, 1.0000, 0.7672
75, exponential, 1.0000, 1.0000, 1.0000, 0.7640
100, exponential, 1.0000, 1.0000, 1.0000, 0.7353
150, exponential, 1.0000, 1.0000, 1.0000, 0.5000
300, exponential, 1.0000, 1.0000, 1.0000, 0.4800
500, exponential, 1.0000, 1.0000, 1.0000, 0.4167
1, lognormal, 8.7644, 2.8216, 6374.6557, 0.0334
20, lognormal, 5.0494, 1.9439, 1494.3752, 0.1645
50, lognormal, -9356.9805, 26625.1424, 1770.7333, 0.2003
75, lognormal, -6037.9150, 10350.7278, 2413.5527, 0.2040
100, lognormal, -11305.2897, 59606.4439, 2593.4183, 0.1701
150, lognormal, -8416.4334, 18408.8015, 4198.6238, 0.0231
300, lognormal, -13892.2501, 22564.8813, 4677.1783, 0.0421
500, lognormal, -17344.0390, 31668.1741, 4414.8372, 0.0833
bmin selected = 150
--------------------
Generating 2501 data sets...
power distribution: 
[0, 0, 0, 0, 0, 24.943458707355791, 12.858246335617055, 7.890445383184634, 4.0674908650419326]
linear distribution: 
[0, 0, 0, 0, 0, 19.239783538324424, 16.244332170378531, 12.250397013117336, 2.265559119964351]
exponential distribution: 
[0, 0, 0, 0, 0, 7.1750959731644108e-66, 5.1482002224120135e-131, 7.1245764067412855e-218, 0.0]
lognormal distribution: 
[0, 0, 0, 0, 0, 25.209934369380523, 12.604750056180039, 7.5627540185368263, 3.7813118633525611]
p-values : 
power , 0.8952
linear , 0.0412
exponential , 0.0000
lognormal , 0.9524
****************************************************
Game GW2 Analysis
[117, 63, 19, 16, 14, 13, 3, 2, 8]
bmin 	 function 	 param0 	 param1 	 KS
1, power, 0.4001, 120.0545, -75.6141, 0.1221
20, power, 1.0064, 1258.6774, 234.4864, 0.0754
50, power, 0.5847, 194.9563, 24.6122, 0.0606
75, power, 0.6561, 280.6207, 87.1013, 0.0881
100, power, 0.7206, 396.0857, 115.9143, 0.1296
150, power, 0.8857, 982.9817, 193.9358, 0.2178
300, power, -1.2814, 0.0011, 4.8435, 0.0992
500, power, -1.9092, 0.0000, 4.8868, 0.0103
1, linear, -0.0538, 41.4522, 14.8850, 0.3852
20, linear, -0.0272, 24.7204, 3.6570, 0.2813
50, linear, -0.0112, 14.1985, 1.1204, 0.1255
75, linear, -0.0086, 12.3814, 2.3900, 0.1545
100, linear, -0.0059, 10.4276, 2.5973, 0.1906
150, linear, -0.0020, 7.4765, 0.4674, 0.2240
300, linear, 0.0058, 1.2072, 1.2886, 0.1173
500, linear, 0.0058, 1.2072, 1.2886, 0.1698
1, exponential, 0.0307, 119.1966, 163.8760, 0.1363
20, exponential, 0.0252, 99.4062, -44.1172, 0.1988
50, exponential, 1.0000, 1.0000, 1.0000, 0.7467
75, exponential, 1.0000, 1.0000, 1.0000, 0.7143
100, exponential, 1.0000, 1.0000, 1.0000, 0.6500
150, exponential, 1.0000, 1.0000, 1.0000, 0.5000
300, exponential, 1.0000, 1.0000, 1.0000, 0.7692
